source,country,review_id,author,rating,title,body,version,updated
app_store,us,14197786608,bobaakingg,2,Subscribe to end soon.,"It’s just getting to expensive for subscribers, when we can get free music elsewhere. Please consider that majority of people isn’t as fortunate as others.",9.1.56,2026-06-18T08:34:14-07:00
app_store,us,14197783451,Jaylah🙈💗,1,Exceptionally terrible very much peasant,Girl just pay for Apple Music cs no of you don’t have premium they hate you so broke people should never laugh thankya like girl js do Apple,9.1.56,2026-06-18T08:33:21-07:00
app_store,us,14197783495,Rj_bigdog,5,Keagan,I love this app,9.1.56,2026-06-18T08:33:21-07:00
app_store,us,14197782086,Bryson Bendel,4,Not disappointed,Make it so where I can always choose my song on free listening,9.1.56,2026-06-18T08:32:57-07:00
app_store,us,14197765214,Review slides,5,THE BEST,I love spotify’s music,9.1.56,2026-06-18T08:28:09-07:00
app_store,us,14197760556,Fjwcvjjc,1,Gone downhill over the past few years,"There’s always a bug, it always ruins the user experience, and they’re always really slow to fix it",9.1.56,2026-06-18T08:26:49-07:00
app_store,us,14197749912,Disbandedmoon,5,My love.,"Ahem sorry baby😌, I didn’t mean to send that chatting favor twice😉…, Just wanted to let you know I’m back😘, and I’m sorry I left😘😘😘.",9.1.56,2026-06-18T08:23:47-07:00
app_store,us,14197738927,brainwashed_lunatic,5,Secretly promoting their own AI slop music and filling their pockets,"Never ever listen to a curated playlist by spotify. So many have AI songs that Spotify claims to not create. Even if they don’t create them (which i don’t believe) they still push them to the top. Why? Because the fewer streams real humans get, the less they have to pay. Not to mention this app is unusable without premium. You can’t choose a song that you want. You can’t even listen to a playlist you made without them sneaking their own in. The ads are relentless and I know they’ll only keep jacking up the price because that’s what can squeeze an extra dollar from their listeners into their own grubby pockets. It seems unlikely they’ll let this review stand, but I thought O should get it out there. They are a greedy corporation like any other. Some alternatives are bandcamp, soundcloud, or yt music. Anything but this soulless corporate slop.

Thank you for reading.",9.1.56,2026-06-18T08:20:44-07:00
app_store,us,14197730411,dfhjknn,2,App just keeps getting worse,"Does anybody else notice how the Spotify app just keeps getting worse overtime? Glitchy, slow, won't load",9.1.56,2026-06-18T08:18:18-07:00
app_store,us,14197717609,☮️❤️💕😍💙💙😊🥰,5,The adds,"I don’t like how I get the same ads over and over and I always thumbs down them, but it never seems to go away and I feel like I’m getting a lot of ads and I don’t get the 30 minutes of streaming anymore",9.1.56,2026-06-18T08:14:43-07:00
app_store,us,14197715057,Lay’s review!,5,Best app ever!,I can listen to all my fav artists and even when I dnt know the song I can still listen to it!! and it makes me moving!!,9.1.56,2026-06-18T08:14:00-07:00
app_store,us,14197702176,austenvegas81,5,Playlist replay,Great app but you need a feature where the app remembers what song you were last on from any playlist so you can go through each song one by one because shuffle plays the same stuff all the time,9.1.56,2026-06-18T08:10:23-07:00
app_store,us,14197683617,Burgertionjrthethird,4,Too many adds,A bit too many adds for the free but still great music still great app,9.1.56,2026-06-18T08:05:14-07:00
app_store,us,14197672148,#fixyouradspls,1,Keeps turning random features that were originally free into premium-only features,"The Crossfade being a premium feature is weird, especially because it’s been free for the past decade. I think making everything behind a paywall is just really unnecessary and honestly just makes everybody switch to a different, better streaming platform. Nobody is going to switch to premium because you made the Crossfade a premium-only feature 😭. No, they’re going to delete the app and use a different one.",9.1.56,2026-06-18T08:02:00-07:00
app_store,us,14197654824,lboogie☺️,1,Better radio suggestions for songs and artists,Need better radio suggestions that are similar and consistent to the artist and song style,9.1.56,2026-06-18T07:57:01-07:00
app_store,us,14197648566,kenzie plute,5,the music is great!!,i love that i can listen wherever i go and it has literally all of my favorite songs. HIGHLY recommend,9.1.56,2026-06-18T07:55:14-07:00
app_store,us,14197646723,AmadorElin,5,Excellent app,Excellent 👍🏾,9.1.56,2026-06-18T07:54:44-07:00
app_store,us,14197645563,Rufdxzujjuvs,4,ads,i ads every other song,9.1.56,2026-06-18T07:54:24-07:00
app_store,us,14197639598,Krackpapa,5,expensive,Expensive,9.1.56,2026-06-18T07:52:42-07:00
app_store,us,14197628059,joe around,5,The best,The best app to this to music,9.1.56,2026-06-18T07:49:24-07:00
app_store,us,14197551662,مبارك براك العدوني,5,44,65,9.1.56,2026-06-18T07:27:38-07:00
